id,state,year,quarter,registeredUsers,appOpens,brand,userPercentage,userCount
1,India,2018,1,46877867,0,Xiaomi,0.254413,11926334
2,India,2018,1,46877867,0,Samsung,0.204988,9609401
3,India,2018,1,46877867,0,Vivo,0.125737,5894293
4,India,2018,1,46877867,0,Oppo,0.0955536,4479351
5,India,2018,1,46877867,0,Realme,0.0507034,2376866
6,India,2018,1,46877867,0,Apple,0.0389342,1825153
7,India,2018,1,46877867,0,Motorola,0.0339873,1593250
8,India,2018,1,46877867,0,OnePlus,0.0327749,1536418
9,India,2018,1,46877867,0,Lenovo,0.0265905,1246507
10,India,2018,1,46877867,0,Huawei,0.0172528,808774
11,India,2018,1,46877867,0,Others,0.119065,5581520
12,India,2018,2,63648311,0,Xiaomi,0.257925,16416511
13,India,2018,2,63648311,0,Samsung,0.203353,12943051
14,India,2018,2,63648311,0,Vivo,0.131426,8365074
15,India,2018,2,63648311,0,Oppo,0.0981421,6246581
16,India,2018,2,63648311,0,Realme,0.049738,3165738
17,India,2018,2,63648311,0,Apple,0.0365587,2326897
18,India,2018,2,63648311,0,Motorola,0.0329894,2099718
19,India,2018,2,63648311,0,OnePlus,0.0296966,1890141
20,India,2018,2,63648311,0,Lenovo,0.0255647,1627153
21,India,2018,2,63648311,0,Huawei,0.0173569,1104740
22,India,2018,2,63648311,0,Others,0.117249,7462707
23,India,2018,3,80010952,0,Xiaomi,0.260708,20859459
24,India,2018,3,80010952,0,Samsung,0.202827,16228372
25,India,2018,3,80010952,0,Vivo,0.138967,11118842
26,India,2018,3,80010952,0,Oppo,0.101282,8103650
27,India,2018,3,80010952,0,Realme,0.0495257,3962596
28,India,2018,3,80010952,0,Apple,0.0346826,2774989
29,India,2018,3,80010952,0,Motorola,0.0316116,2529272
30,India,2018,3,80010952,0,OnePlus,0.0278906,2231557
31,India,2018,3,80010952,0,Lenovo,0.0232178,1857680
32,India,2018,3,80010952,0,Huawei,0.0180491,1444125
33,India,2018,3,80010952,0,Others,0.11124,8900410
34,India,2018,4,102262055,0,Xiaomi,0.261188,26709586
