id,level,state_name,district_name,year,quarter,count,amount
1,state,puducherry,,2018,1,104212,165825971.36983618
2,state,tamil nadu,,2018,1,6726622,11261557697.516891
3,state,uttar pradesh,,2018,1,12537805,13939970923.223106
4,state,madhya pradesh,,2018,1,8025395,8681603403.446348
5,state,andhra pradesh,,2018,1,9039585,11996276391.823706
6,state,tripura,,2018,1,148157,137978914.53062224
7,state,lakshadweep,,2018,1,778,1928611.1808777403
8,state,manipur,,2018,1,84069,128046173.93020926
9,state,maharashtra,,2018,1,16387034,21711613257.725674
10,state,dadra & nagar haveli & daman & diu,,2018,1,148549,175658384.10921687
11,state,meghalaya,,2018,1,49571,66250259.78990036
12,state,andaman & nicobar islands,,2018,1,6658,14631761.22198579
13,state,haryana,,2018,1,4480770,6793511514.660528
14,state,rajasthan,,2018,1,7591690,8926293130.726837
15,state,ladakh,,2018,1,6089,12532857.771114783
16,state,punjab,,2018,1,1870433,2780758224.854389
17,state,assam,,2018,1,1056881,1157804456.212469
18,state,jharkhand,,2018,1,2178921,2374186389.9194
19,state,odisha,,2018,1,5809821,4627632210.887628
20,state,bihar,,2018,1,5824302,6045758172.017314
21,state,kerala,,2018,1,1771380,2402674753.100502
22,state,karnataka,,2018,1,12016899,19217895314.012802
23,state,chandigarh,,2018,1,381895,613435420.8676233
24,state,telangana,,2018,1,8522766,13308204118.542435
25,state,himachal pradesh,,2018,1,481918,628737806.3723404
26,state,west bengal,,2018,1,11710225,10625978552.140453
27,state,gujarat,,2018,1,5948775,7577982255.034092
28,state,sikkim,,2018,1,44078,64650938.94036834
29,state,nagaland,,2018,1,42845,78005891.08612517
30,state,mizoram,,2018,1,18561,45227219.975790836
31,state,chhattisgarh,,2018,1,1891514,2149155557.2367463
32,state,jammu & kashmir,,2018,1,941568,1005371239.2561305
33,state,goa,,2018,1,160897,303856742.34308386
34,state,arunachal pradesh,,2018,1,45497,92387336.00940911
35,state,delhi,,2018,1,7122754,11211503806.91996
36,state,uttarakhand,,2018,1,1246685,1508545358.5238864
37,state,puducherry,,2018,2,130261,285801119.5324367
38,state,tamil nadu,,2018,2,9992128,20125844276.267662
39,state,uttar pradesh,,2018,2,17710943,25720201695.701435
40,state,madhya pradesh,,2018,2,10561412,15924081066.680986
41,state,andhra pradesh,,2018,2,12353918,22883914272.633617
42,state,tripura,,2018,2,214559,236891718.7161358
43,state,lakshadweep,,2018,2,2132,6187809.539400538
44,state,manipur,,2018,2,151721,253209721.319494
45,state,maharashtra,,2018,2,22285740,36357057241.12254
46,state,dadra & nagar haveli & daman & diu,,2018,2,202626,302070771.6561514
47,state,meghalaya,,2018,2,67857,117004667.8418316
48,state,andaman & nicobar islands,,2018,2,11340,28338535.507953547
49,state,haryana,,2018,2,6150931,11320414442.116663
50,state,rajasthan,,2018,2,9973697,15559086175.75962
51,state,ladakh,,2018,2,15010,47334902.5377415
52,state,punjab,,2018,2,2581163,4684672212.007125
53,state,assam,,2018,2,1663873,2350585135.537811
54,state,jharkhand,,2018,2,3152080,4721575659.062912
55,state,odisha,,2018,2,8158144,8488310339.620239
56,state,bihar,,2018,2,8632378,13506131109.672922
57,state,kerala,,2018,2,2308165,3886923343.44263
58,state,karnataka,,2018,2,17116447,33515580081.29709
59,state,chandigarh,,2018,2,479084,961223261.74473
60,state,telangana,,2018,2,10764670,23017201517.652737
61,state,himachal pradesh,,2018,2,687695,1183169301.3511178
62,state,west bengal,,2018,2,18082446,18629183470.204285
63,state,gujarat,,2018,2,7745733,12162684771.641388
64,state,sikkim,,2018,2,74578,143693085.52979562
65,state,nagaland,,2018,2,65599,153325577.88030174
66,state,mizoram,,2018,2,27051,83508405.55773437
67,state,chhattisgarh,,2018,2,2816156,4264170443.1617327
68,state,jammu & kashmir,,2018,2,1796326,2651206236.5028934
69,state,goa,,2018,2,229575,478603825.35861486
70,state,arunachal pradesh,,2018,2,82157,198970192.34204656
71,state,delhi,,2018,2,9373723,17446299902.205147
72,state,uttarakhand,,2018,2,1704122,2679755378.5510764
73,state,puducherry,,2018,3,190271,417658075.4942067
74,state,tamil nadu,,2018,3,15774078,29330092241.18405
75,state,uttar pradesh,,2018,3,26515356,37012114369.23937
76,state,madhya pradesh,,2018,3,17126985,24149742204.67322
77,state,andhra pradesh,,2018,3,25626061,35718044599.21416
78,state,tripura,,2018,3,377703,453863388.04059243
79,state,lakshadweep,,2018,3,1703,4339032.3119858485
80,state,manipur,,2018,3,189258,383331244.79412293
81,state,maharashtra,,2018,3,31538538,52260817733.24835
82,state,dadra & nagar haveli & daman & diu,,2018,3,289575,447639595.67817545
83,state,meghalaya,,2018,3,110290,209853661.53439403
84,state,andaman & nicobar islands,,2018,3,16265,55557471.13431113
85,state,haryana,,2018,3,8262024,16375139007.627964
86,state,rajasthan,,2018,3,14257098,24040768671.212967
87,state,ladakh,,2018,3,24864,84090977.14484604
88,state,punjab,,2018,3,3462108,7065687043.821184
89,state,assam,,2018,3,2351851,3811134989.9142647
90,state,jharkhand,,2018,3,8122621,8661571417.704563
91,state,odisha,,2018,3,30052155,23094515775.585766
92,state,bihar,,2018,3,14367804,20135804378.90174
93,state,kerala,,2018,3,3134348,5323025223.875498
