id,year,quarter,level,entity_name,count,amount,state_name
1,2018,1,state,maharashtra,16387034,21711613257.725674,
2,2018,1,state,uttar pradesh,12537805,13939970923.223106,
3,2018,1,state,karnataka,12016899,19217895314.012802,
4,2018,1,state,west bengal,11710225,10625978552.140453,
5,2018,1,state,andhra pradesh,9039585,11996276391.823706,
6,2018,1,state,telangana,8522766,13308204118.542435,
7,2018,1,state,madhya pradesh,8025395,8681603403.446348,
8,2018,1,state,rajasthan,7591690,8926293130.72684,
9,2018,1,state,delhi,7122754,11211503806.91996,
10,2018,1,state,tamil nadu,6726622,11261557697.516891,
11,2018,1,district,bengaluru urban,8306513,14162750303.06484,
12,2018,1,district,pune,3842929,5378982326.835919,
13,2018,1,district,central delhi,2997714,4312145216.274474,
14,2018,1,district,mumbai,2671029,3923116793.952079,
15,2018,1,district,chennai,2656230,4281137762.522443,
16,2018,1,district,hyderabad,2545507,4287223789.76588,
17,2018,1,district,jaipur,2417174,2953086960.1413727,
18,2018,1,district,birbhum,2125816,2520486412.452376,
19,2018,1,district,kolkata,2043129,2753347660.1429114,
20,2018,1,district,bhopal,1704495,1905473874.8326716,
21,2018,1,pincode,560001,2917356,4684262246.184548,
22,2018,1,pincode,110006,2636324,3714139312.238586,
23,2018,1,pincode,400008,2227885,3105208723.475169,
24,2018,1,pincode,600003,2010196,2997847000.265506,
25,2018,1,pincode,731101,1764956,2366771285.7278423,
26,2018,1,pincode,700009,1390629,1851145374.4001179,
27,2018,1,pincode,411001,1055656,1413523605.5956619,
28,2018,1,pincode,500012,933013,1643061976.4262943,
29,2018,1,pincode,462001,832846,898730606.684653,
30,2018,1,pincode,201301,690196,987613438.9540119,
31,2018,2,state,maharashtra,22285740,36357057241.12254,
32,2018,2,state,west bengal,18082446,18629183470.204285,
33,2018,2,state,uttar pradesh,17710943,25720201695.701435,
34,2018,2,state,karnataka,17116447,33515580081.29709,
35,2018,2,state,andhra pradesh,12353918,22883914272.633617,
36,2018,2,state,telangana,10764670,23017201517.652737,
37,2018,2,state,madhya pradesh,10561412,15924081066.680984,
38,2018,2,state,tamil nadu,9992128,20125844276.267662,
39,2018,2,state,rajasthan,9973697,15559086175.759623,
40,2018,2,state,delhi,9373723,17446299902.205147,
41,2018,2,district,bengaluru urban,11916035,23824727965.49048,
42,2018,2,district,pune,5162876,8513428062.925206,
43,2018,2,district,chennai,3719593,7305357440.752291,
44,2018,2,district,central delhi,3589206,6223466821.092629,
45,2018,2,district,mumbai,3277612,6048515205.760132,
46,2018,2,district,jaipur,3175255,4952882923.415596,
47,2018,2,district,hyderabad,3156805,6628159910.681627,
48,2018,2,district,birbhum,2775489,3988930679.767912,
